alquiler,sueldo,zona,tipo_inquilino,antiguedad_contrato,tipo_garantia,cumplio_pago
450000,2500000,Palermo,profesional,24,Propietaria,1
600000,3000000,Recoleta,profesional,36,Seguro de caucion,1
500000,2200000,Belgrano,persona fisica,18,Propietaria,1
700000,4000000,Núñez,profesional,48,Bancaria,1
800000,5000000,Puerto Madero,empresa,60,Bancaria,1
550000,2800000,Almagro,profesional,24,Seguro de caucion,1
400000,2000000,Caballito,persona fisica,12,Propietaria,1
650000,3200000,Recoleta,profesional,36,Seguro de caucion,1
300000,1800000,Villa Urquiza,persona fisica,24,Propietaria,1
350000,1900000,Colegiales,profesional,18,Propietaria,1
900000,1200000,La Boca,persona fisica,6,Sin garantia,0
850000,1000000,Villa Soldati,persona fisica,3,Sin garantia,0
750000,1100000,Villa Lugano,persona fisica,2,Sin garantia,0
700000,1300000,Nueva Pompeya,persona fisica,4,Recibo de sueldo,0
650000,1400000,Barracas,persona fisica,5,Recibo de sueldo,0
600000,1500000,Constitución,persona fisica,6,Recibo de sueldo,0
500000,1200000,San Telmo,persona fisica,6,Sin garantia,0
450000,1000000,Monserrat,persona fisica,3,Sin garantia,0
400000,900000,San Nicolás,persona fisica,2,Sin garantia,0
550000,1100000,Retiro,persona fisica,4,Recibo de sueldo,0
300000,2500000,Palermo,profesional,36,Propietaria,1
350000,2700000,Belgrano,profesional,48,Propietaria,1
400000,3000000,Recoleta,profesional,60,Bancaria,1
450000,3200000,Núñez,profesional,36,Bancaria,1
500000,3500000,Puerto Madero,empresa,72,Bancaria,1
550000,2800000,Almagro,profesional,24,Seguro de caucion,1
600000,2600000,Caballito,profesional,24,Propietaria,1
650000,2400000,Chacarita,profesional,18,Propietaria,1
700000,2300000,Villa Crespo,profesional,18,Propietaria,1
750000,2200000,Villa Devoto,profesional,18,Propietaria,1
800000,2100000,Villa Urquiza,profesional,18,Propietaria,1
850000,2000000,Saavedra,profesional,12,Seguro de caucion,1
900000,1800000,Parque Chacabuco,persona fisica,12,Recibo de sueldo,0
950000,1700000,Parque Patricios,persona fisica,10,Sin garantia,0
1000000,1600000,Villa Lugano,persona fisica,6,Sin garantia,0
600000,5000000,Puerto Madero,empresa,84,Bancaria,1
700000,4500000,Recoleta,empresa,72,Bancaria,1
800000,4000000,Palermo,empresa,60,Bancaria,1
900000,3800000,Belgrano,empresa,60,Bancaria,1
520000,2600000,Flores,profesional,24,Seguro de caucion,1
480000,2400000,Floresta,persona fisica,18,Propietaria,1
610000,3000000,Liniers,profesional,36,Seguro de caucion,1
590000,2900000,Mataderos,persona fisica,24,Propietaria,1
470000,2300000,Monte Castro,profesional,18,Propietaria,1
530000,2700000,Parque Avellaneda,persona fisica,24,Propietaria,1
560000,2800000,Parque Chas,profesional,24,Seguro de caucion,1
620000,3100000,Parque Patricios,profesional,36,Seguro de caucion,1
580000,2600000,Puerto Madero,empresa,60,Bancaria,1
540000,2500000,Recoleta,profesional,24,Propietaria,1
510000,2400000,Retiro,profesional,24,Seguro de caucion,1
490000,2200000,Saavedra,persona fisica,18,Propietaria,1
460000,2100000,San Cristóbal,profesional,18,Propietaria,1
570000,2700000,San Nicolás,persona fisica,12,Recibo de sueldo,0
600000,2600000,San Telmo,persona fisica,10,Sin garantia,0
650000,2500000,Villa Crespo,profesional,12,Propietaria,1
700000,2400000,Villa Devoto,profesional,12,Propietaria,1
750000,2300000,Villa Urquiza,profesional,12,Propietaria,1
800000,2200000,Villa Pueyrredón,profesional,12,Propietaria,1
850000,2100000,Villa del Parque,profesional,10,Seguro de caucion,1
900000,2000000,Villa Luro,persona fisica,8,Recibo de sueldo,0
950000,1900000,Villa Lugano,persona fisica,6,Sin garantia,0
1000000,1800000,Villa Soldati,persona fisica,4,Sin garantia,0
420000,2000000,Boedo,profesional,24,Propietaria,1
440000,2100000,Balvanera,persona fisica,18,Propietaria,1
460000,2200000,Barracas,profesional,18,Propietaria,1
480000,2300000,Chacarita,profesional,24,Seguro de caucion,1
500000,2400000,Coghlan,profesional,24,Propietaria,1
520000,2500000,Colegiales,profesional,24,Propietaria,1
540000,2600000,Flores,persona fisica,18,Propietaria,1
560000,2700000,Floresta,persona fisica,18,Propietaria,1
580000,2800000,La Boca,persona fisica,12,Recibo de sueldo,0
600000,2900000,La Paternal,profesional,24,Propietaria,1
620000,3000000,Liniers,profesional,24,Seguro de caucion,1
640000,3100000,Mataderos,persona fisica,18,Propietaria,1
660000,3200000,Monte Castro,profesional,24,Propietaria,1
680000,3300000,Monserrat,profesional,24,Seguro de caucion,1
700000,3400000,Nueva Pompeya,persona fisica,12,Recibo de sueldo,0
720000,3500000,Núñez,profesional,36,Propietaria,1
740000,3600000,Palermo,profesional,48,Bancaria,1
760000,3700000,Parque Avellaneda,persona fisica,18,Propietaria,1
780000,3800000,Parque Chacabuco,profesional,24,Seguro de caucion,1
800000,3900000,Parque Chas,profesional,24,Propietaria,1
820000,4000000,Parque Patricios,empresa,60,Bancaria,1
840000,4100000,Puerto Madero,empresa,72,Bancaria,1
860000,4200000,Recoleta,profesional,48,Bancaria,1
880000,4300000,Retiro,empresa,60,Bancaria,1
900000,4400000,Saavedra,profesional,36,Propietaria,1
920000,4500000,San Cristóbal,profesional,24,Seguro de caucion,1
940000,4600000,San Nicolás,empresa,48,Bancaria,1
960000,4700000,San Telmo,persona fisica,18,Propietaria,1
980000,4800000,Villa Crespo,profesional,36,Propietaria,1
1000000,4900000,Villa Devoto,profesional,36,Propietaria,1
